Time:1Hz,Epoch,FP1,FP2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4,Event Id,Event Date,Event Duration
169.1359999999,341,15.0422577370,15.0425699427,15.0425601033,15.0424889387,15.0435875198,15.0427717318,15.0427148818,15.0423204860,15.0470780160,15.0465297339,15.0466314613,15.0464013624,15.0458010947,15.0457446823,15.0457237129,15.0472559329,33552:33553:33554,169.8160001591:169.8240001590:169.8400001591,0.0000000000:0.0159999998:0.0000000000
169.6320000000,342,15.0922849100,15.0926009702,15.0926008358,15.0925071931,15.0936180310,15.0928033435,15.0927656283,15.0923364369,15.1002645869,15.0997181087,15.0998286398,15.0995805802,15.0989778727,15.0989215353,15.0989106320,15.1004408022,33552:33552:33552,170.2960001591:170.3600001591:170.4560001590,0.0000000000:0.0000000000:0.0000000000
170.1279999998,343,15.0437001274,15.0440108995,15.0439962994,15.0439168440,15.0450121451,15.0441925606,15.0441608998,15.0437214549,15.0475426466,15.0469879123,15.0470979375,15.0468522364,15.0462659173,15.0462317091,15.0462039061,15.0477473135,33553:33554,170.7440001590:170.7520001591,0.0079999999:0.0000000000
170.6239999998,344,14.9780509043,14.9783589804,14.9783404159,14.9782554440,14.9793705418,14.9785456288,14.9784973313,14.9780711611,14.9834220612,14.9828652147,14.9829582040,14.9827276313,14.9821655269,14.9820935020,14.9820593672,14.9836302204,33553:33554,171.0720001590:171.0960001589,0.0240000000:0.0000000000
171.1199999999,345,15.0414765274,15.0417909227,15.0417846078,15.0416863354,15.0427870162,15.0419749992,15.0419437137,15.0415082781,15.0435749408,15.0430072239,15.0431154738,15.0429043847,15.0423347040,15.0422429831,15.0422222879,15.0437827009,33553:33554,171.5600001591:171.5760001591,0.0159999998:0.0000000000
171.6159999999,346,22.5607401748,22.5607068657,19.8287533869,19.7522910985,20.8501383659,19.8921491527,21.0048559341,20.8638708927,20.3321841107,20.8134077320,20.0709315456,20.0274442383,20.2758811532,20.2756340961,20.9148706915,22.5605897152,33552:33552:33553:33554,172.3280001590:172.3280001590:172.4880001592:172.4960001591,0.0000000000:0.0000000000:0.0079999999:0.0000000000
172.1120000000,347,22.8442311228,22.8441977087,19.9823938193,19.9690189993,20.8739373293,20.0008912896,21.0598295438,20.8929999522,20.3650917471,20.8223854992,20.2285548630,20.3221419082,20.3252420967,20.3240031281,20.9333050627,22.8440459727,33553:33554:33553:33554,172.5600001591:172.5680001590:172.7520001591:172.7600001590,0.0079999999:0.0000000000:0.0079999999:0.0000000000
172.6079999998,348,21.5918190680,21.5917856265,18.2433159555,18.4886339049,18.0828856160,18.0083429519,18.6753394496,18.1637361375,17.6164566226,17.7348454840,18.4872834984,19.0682251538,17.7997819524,17.7807041113,18.0073516006,21.5916100749,33553:33554,173.0480001590:173.0640001590,0.0159999998:0.0000000000
173.1039999998,349,21.1976704325,21.1976368945,16.4502390519,16.5453807243,18.6703838750,16.4957556184,19.0377980511,18.7647205701,17.2036965859,18.4308283104,16.6055738702,17.2270378627,17.0417985415,17.0320537408,18.6913677781,21.1979161200,33553:33554,173.5440001590:173.5520001589,0.0079999999:0.0000000000
173.5999999999,350,21.9680135854,21.9679800608,15.8791729135,16.8085464671,19.0299169105,15.1123158646,19.5669317872,19.2200424782,16.2661104108,18.6613300128,16.3327693247,17.9965594542,15.6333118874,15.6684841712,19.0398895253,21.9681763718,33553:33554:33552:33553:33554,174.0240001590:174.0320001591:174.0320001591:174.0320001591:174.0560001591,0.0079999999:0.0000000000:0.0000000000:0.0240000000:0.0000000000
174.0959999999,351,22.0941722854,22.0941387664,16.7883291452,17.5090470761,18.9300581281,16.0745536392,19.5965592975,19.1550234677,14.7772415628,18.5068554484,17.1717546152,18.4997205525,13.6708515764,13.7595522833,18.8973545265,22.0942836552,33553:33554:33553:33554,174.4880001592:174.4960001591:174.7680001589:174.7840001590,0.0079999999:0.0000000000:0.0159999998:0.0000000000
174.5919999999,352,21.8087779664,21.8087444459,17.0386771096,17.6084659575,18.5599697424,16.4138762921,19.2750086739,18.7043016341,12.8444029589,18.0380208534,17.3650835840,18.4846580777,14.3479517572,14.2808457093,18.4369996353,21.8088615333,33553:33554,175.5200001590:175.5360001591,0.0159999998:0.0000000000
175.0880000000,353,21.1595195342,21.1594860059,16.8393358102,17.3015136383,17.9022899428,16.2367774125,18.5622817826,17.8475909018,13.6231321017,17.1999142371,17.1243482443,18.0846961791,15.0138912283,14.9898616624,17.6396498060,21.1595831023,,,
175.5839999998,354,20.0275772842,20.0275437376,16.2440108977,16.5978353538,16.7122878257,15.6759059142,17.2261602302,16.3742442584,14.3500407277,15.7869526168,16.4945099242,17.2627404987,15.1222618632,15.1194129509,16.3147703478,20.0276196759,33552:33553:33554,176.2480001589:176.2480001589:176.2640001590,0.0000000000:0.0159999998:0.0000000000
176.0799999998,355,18.3756220387,18.3755885106,15.1623787933,15.3313301386,15.4265871072,14.6482608327,16.0414878090,15.5341570518,14.5991772803,15.1123083890,15.3545204233,15.8848057403,14.8721260108,14.8847812158,14.9496625986,18.3756700858,1234,176.7221369704,0.0000000000
176.5759999999,356,19.1753170726,19.1752836340,13.4733896209,13.8994543577,16.6498159196,12.9609614476,17.2942903591,16.8112284526,14.5859230581,16.2913959055,13.6922953046,14.9374360962,14.3155302628,14.3599657006,16.2942224296,19.1754213426,33552:33553:33554,177.2080001591:177.2160001590:177.2240001590,0.0000000000:0.0079999999:0.0000000000
177.0719999999,357,20.1396671278,20.1396336651,14.0935896507,15.0373703181,17.5524024635,12.4487115280,17.9698637722,17.4773790019,14.4098073701,16.9830994104,14.6110637948,16.1942278939,13.4932685440,13.5606677902,17.2115866129,20.1397538651,33552:33553:33554,177.5040001590:177.5120001591:177.5200001590,0.0000000000:0.0079999999:0.0000000000
177.5680000000,358,20.5774068898,20.5773734137,14.9960608087,15.7720091983,17.9197683789,13.0558543016,18.1960577605,17.7046108528,14.1714682668,17.2576883341,15.5103780798,16.8611341729,12.4262061043,12.4876766852,17.7767574571,20.5774839030,33552:33553:33554,177.7440001590:177.9200001589:177.9360001590,0.0000000000:0.0159999998:0.0000000000
178.0639999998,359,20.7084314779,20.7083979931,15.2834308331,16.0208837542,17.8502733586,13.6270929197,18.1320513334,17.6699902045,13.8256825852,17.2770682344,15.7551436391,17.0641412366,10.9313663061,11.0793255529,17.9484736313,20.7085028339,33553:33554,178.4400001590:178.4560001590,0.0159999998:0.0000000000
178.5599999998,360,20.6207676506,20.6207341587,15.2849310408,16.0199833490,17.3934925357,14.1891106453,17.8698870926,17.4756164950,13.1820993283,17.0530741349,15.6697827034,17.0421386119,9.4659460807,9.7998363285,17.6460023254,20.6208353945,,,
179.0559999999,361,20.3423873474,20.3423538483,15.2161655221,15.8951994886,16.8441230824,14.4756366429,17.5380709642,17.1683133633,11.9631191724,16.5005593816,15.5144660259,16.8695693793,11.3546384657,11.3507391032,16.9845132025,20.3424527472,33552,179.6480001591,0.0000000000
179.5519999999,362,19.8635041145,19.8634706066,15.1038437883,15.6982311998,16.4681037386,14.6885766638,17.1273310052,16.7163979060,11.3681745026,15.8505327093,15.3398326787,16.5495739512,12.6792417604,12.6245283426,16.0937492644,19.8635681862,33553:33554,179.8640001591:179.8880001591,0.0240000000:0.0000000000
180.0480000000,363,19.1279447436,19.1279112226,14.8498564282,15.3559738584,15.8811180378,14.6851381090,16.4478732129,15.9463436023,12.5428188439,15.1006480576,15.0345321337,16.1051076674,13.3128724892,13.2277312400,14.7967344266,19.1280086626,33552:33553:33554,180.3520001590:180.3520001590:180.3760001590,0.0000000000:0.0240000000:0.0000000000
180.5440000000,364,17.9816820910,17.9816485462,14.4923950733,14.8279847364,14.7983842308,14.4392384586,15.4556883871,14.6757910748,13.3147564000,13.9099633646,14.6051097408,15.3832308048,13.7044845869,13.6211865699,13.2081479371,17.9817478938,33552:33552,181.0160001591:181.1600001589,0.0000000000:0.0000000000
181.0399999998,365,16.2831337668,16.2831002270,13.9378362795,14.0111729106,13.5277325627,13.9913047746,14.1737000783,13.5767784459,13.5659541458,13.1087528954,13.9713501359,14.3460020844,13.7188143900,13.6463211500,13.9796279411,16.2831970323,33553:33554,181.9840001590:182.0080001589,0.0240000000:0.0000000000
