Time:125Hz,Epoch,FP1,FP2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4,Event Id,,,
801.4559994,3130,81.74821217,237.5261409,18.90852008,-120.853586,11.22656164,-321.7449448,-24.87061108,-231.2240273,43.14182132,16.38247892,111.6332407,20.96040836,24.66465582,-6.219736695,0,-129.3169066,,,,
801.4639994,3130,-72.36281432,-107.5326454,-16.79655602,-13.56243175,-47.75428889,176.0641901,9.101086203,-20.71671149,-8.422741486,7.191252668,-83.35400994,34.50519282,10.5048306,-0.193330777,0,-146.4366951,,,,
801.4719994,3130,121.7701307,117.4648938,38.1816496,-90.90282994,33.94190386,-123.2083758,-7.870805318,-133.5232585,25.38420227,5.249989742,32.4421865,7.818825394,18.16707983,-11.41353855,0,196.2035576,,,,
801.4799994,3130,-35.94009088,98.60847831,-12.89979867,-10.00659225,-40.19603663,-136.2394095,2.280657894,-163.194875,42.99264218,28.18505785,47.95861591,46.27859385,34.92369083,12.50706046,0,-321.3061467,,,,
801.4879994,3130,-0.257406049,-71.12296785,-2.676807371,-17.2813042,-7.622670492,180.8404015,1.812294919,-5.35363557,0.391184104,-6.033366668,-93.41732141,7.56007652,-9.50927613,-13.02174583,0,184.2665483,,,,
801.4959994,3130,68.73817348,244.3082377,7.691943589,-51.76909796,9.595676939,-298.1290043,-23.35595608,-215.3303563,53.13461768,3.788221528,97.43438809,27.67217198,3.925175732,-14.42900465,0,-95.11408334,,,,
801.5039994,3130,-91.65411472,-110.5934096,-25.12301528,55.33349259,-43.47348721,179.8861169,9.253887154,-27.01837617,7.037709932,23.88927995,-76.355928,34.81679067,21.09558288,15.12409171,0,-133.3844503,,,,
801.5119994,3130,109.9481327,120.859361,20.02568452,-38.01359086,33.35954825,-123.3498294,-15.81913763,-142.8446355,34.10463492,3.242286144,34.81327364,2.304582595,27.2833036,-10.29683696,0,192.1228124,,,,
801.5199994,3130,-34.76666606,108.2456286,-22.02710742,39.8168277,-34.70211822,-118.2385883,-5.620819593,-159.7824507,47.5831936,30.27144764,42.42949988,49.23181867,38.23746574,18.49074371,0,-315.8128256,,,,
801.5279994,3130,11.89952233,-51.77479621,-0.669591098,33.10005533,-0.625258211,177.7653895,-3.974997914,-16.35202019,5.650086707,14.98095491,-72.74617927,15.92766868,4.916924767,9.2956025,0,185.5396106,,,,
801.5359994,3131,84.91067116,257.3464236,3.562780124,-10.96831175,7.171429157,-302.1568873,-23.46162669,-233.0084926,67.33016841,10.54275545,116.9772038,31.60044261,30.61264138,-6.469519417,0,-108.1864601,,,,
801.5439994,3131,-82.01346408,-93.99782116,-39.83336736,79.03957328,-46.05191872,199.6522302,0.163340951,-23.16325634,25.17813484,21.56284748,-75.91613333,37.17307075,33.3924243,10.87037007,0,-132.5008965,,,,
801.5519994,3131,110.96902,143.3268161,8.75260248,-24.37406686,29.7284782,-95.55969547,-32.20763777,-122.6033814,27.52079651,-3.408984702,31.67965445,5.13823218,8.193361994,-23.09789791,0,201.9724175,,,,
801.5599994,3131,-30.84777054,108.9980047,-21.78109334,54.7672606,-34.21734932,-81.84037819,-2.756281868,-136.3152793,36.69840946,17.69761602,31.65995617,46.84359407,30.03345945,-1.488600677,0,-291.9956625,,,,
801.5679994,3131,3.167131908,-59.55531005,-4.268144034,46.44526254,9.810471172,205.732338,4.785285442,5.088671108,11.81525,9.913418331,-85.55172742,12.99335043,18.75324133,-3.495946211,0,206.3574833,,,,
801.5759994,3131,54.99088224,247.3451324,-10.78403081,-3.203397548,12.95886249,-264.522491,-21.62364842,-197.8135312,58.05319792,1.102869309,103.5750071,28.75640666,30.94236724,-20.5593385,0,-94.06986514,,,,
801.5839994,3131,-88.18137571,-95.95633625,-39.19344573,90.99064944,-39.35780756,235.4275521,21.20745112,10.90128577,12.01188449,6.087855549,-85.95030434,29.17135844,25.70392623,-4.674031886,0,-102.4725658,,,,
801.5919994,3131,120.0366781,160.7118068,21.28939034,-0.096610996,44.45105669,-84.49371408,1.13902309,-114.3076538,42.52110534,1.177623989,36.54276482,2.880627468,15.91639323,-17.58817604,0,209.7119251,,,,
801.5999994,3131,-38.5414056,131.7956861,-25.14547712,74.14827185,-26.7159963,-71.29598369,13.98340579,-138.9558415,52.61281667,28.64297369,40.63075351,46.43574573,48.46946338,10.53504204,0,-304.1604584,,,,
801.6079994,3131,0.558114453,-29.06341573,-11.62647202,52.90747807,3.786893514,206.3475692,9.225700929,-2.343844993,10.60920062,6.652933311,-81.22624668,2.999422034,25.28497179,-5.249824922,0,189.7244557,,,,
801.6159994,3131,61.41936696,269.274555,-0.326115458,6.88790643,13.65220584,-271.9514452,-16.69248486,-217.4791491,55.77225938,6.723699459,106.3012134,21.33761876,27.58729842,-15.37970739,0,-120.224488,,,,
801.6239994,3131,-97.16569074,-89.11757208,-30.63661655,97.31604413,-24.2829049,214.3357985,21.24976511,-24.60641974,15.56607654,21.33994448,-72.6298793,28.52934346,42.0968254,10.37305951,0,-128.584795,,,,
801.6319994,3131,91.60081918,157.2949562,10.45523711,-5.997119616,51.63898143,-118.8179485,-11.98692371,-152.6928187,45.12539981,-0.863443693,45.77222971,-6.999152796,32.33801737,-15.83981226,0,168.3548927,,,,
801.6399994,3131,-65.90040894,123.1107413,-33.83044716,66.61637415,-20.02484979,-88.64229538,2.266518431,-162.5539964,39.45093612,13.95848658,29.90664629,30.79677334,35.24102585,1.029608886,0,-335.1046812,,,,
801.6479994,3131,-14.25641649,-29.17013636,-13.31308231,43.56950432,22.96450388,186.1182902,8.420595325,-26.23626316,-2.615170948,2.886666275,-80.67957853,-7.842476589,21.70794077,-4.338797221,0,170.1171877,,,,
801.6559994,3131,65.42862676,255.2037327,-4.055153621,-2.433266246,26.80533297,-294.3436612,-13.67572789,-248.7613881,55.00916814,4.630763862,106.3423092,6.10375914,37.55294393,-11.525487,0,-150.0736608,,,,
801.6639994,3131,-80.65220287,-98.39181183,-31.12649537,94.03820083,-17.66029871,203.5160438,29.82337492,-49.464651,7.740236674,14.19321831,-85.60974871,16.05333536,30.52732001,9.757583595,0,-155.3841679,,,,
801.6719994,3131,94.97511246,159.7504027,5.748189339,-13.01576994,58.854516,-116.9690248,-1.347328698,-161.9853033,34.4340984,-3.603678334,44.22870716,-4.543531689,19.6876149,-7.783031581,0,139.9046382,,,,
801.6799994,3131,-59.52724216,94.86608873,-39.94501475,40.95379112,-16.79872674,-73.47918852,7.78764441,-163.6541533,30.50837049,2.853508454,28.0010941,33.18524994,36.73618417,4.288943753,0,-341.4803453,,,,
801.6879994,3131,5.518210517,-62.61719313,-1.459386946,16.8917982,29.60231598,182.9756029,19.18193033,-42.66759526,-10.2261892,-6.01724388,-81.0007027,-12.09979971,22.26591563,-5.553071682,0,164.6580538,,,,
801.6959994,3131,73.23574025,239.8126043,19.63872915,-16.8746368,40.65187331,-308.789817,6.400791981,-274.868743,63.25982841,16.06066368,114.2828701,7.361913687,33.98308076,3.724614685,0,-174.7525785,,,,
801.7039994,3131,-77.19601352,-91.95849067,-15.97952973,68.78488113,-8.152470514,184.8839675,35.46625446,-75.22712616,18.45870761,26.60232559,-78.9949603,19.99977779,35.55753393,25.61860341,0,-170.8634246,,,,
801.7119994,3131,103.1650087,181.9140709,22.27650997,-32.83870484,64.45615248,-142.5739489,-8.443610058,-192.3258407,27.5181945,1.009101232,46.81335195,-6.582197218,32.77633061,-5.217760105,0,114.0034682,,,,
801.7199994,3131,-48.17033147,113.8161367,-14.6038463,51.27420472,-9.25295227,-92.74450608,7.043590278,-195.4577548,35.51189242,16.26112366,30.50654494,31.0956089,34.20961094,14.38951163,0,-366.0710452,,,,
801.7279994,3131,9.399628503,-34.07429797,-3.810198599,23.05387358,23.35372656,176.2351912,9.971553161,-58.28606715,-3.581499761,-2.88022543,-78.86337801,-11.38114821,6.50756148,0.876346396,0,152.1029839,,,,
801.7359994,3131,66.05182961,263.338417,-4.77053679,-28.28713122,22.8088443,-278.5141409,-10.70440315,-258.5462796,36.64708668,-7.739967184,104.2539648,2.771697084,28.55231576,-12.92766431,0,-172.0070023,,,,
801.7439994,3131,-74.6488736,-81.01576236,-30.3451104,60.0892201,-22.01316277,223.2080069,24.66089746,-54.10509721,1.672217266,9.543277091,-85.6301287,12.96677079,31.46851859,10.06073076,0,-138.8828474,,,,
801.7519994,3131,97.4819824,184.5062723,1.794619627,-47.42920825,42.92349818,-107.4790766,-22.35612268,-170.5248989,25.50773741,-7.227627603,36.60405312,-9.631150516,8.544168988,-18.84768462,0,145.144968,,,,
801.7599994,3131,-51.33558626,104.3370713,-28.24440933,29.6153119,-26.36698806,-47.60090443,-2.092059856,-166.8190315,22.73043805,6.995512867,6.484179361,26.68088479,16.37130809,-0.140137743,0,-330.2760188,,,,
801.7679994,3131,30.86383097,-37.81491734,5.914678586,17.56640686,22.98640064,189.4837554,13.27922228,-52.9383561,-3.104211443,7.972067338,-84.60661026,-8.845744143,18.84633419,5.979757144,0,179.6336274,,,,
801.7759994,3131,66.92642254,248.8900148,0.546090831,-19.27569366,18.44251122,-271.3406416,-18.58297414,-256.3572464,46.4851793,12.7989591,108.0704339,16.46698169,37.65249553,-1.429811394,0,-170.3727442,,,,
801.7839994,3131,-77.34832149,-108.4395078,-19.62200265,69.65198817,-25.1023132,236.0531551,14.66493098,-42.501458,0.430641423,13.59954379,-83.37172984,22.8381454,25.19139721,12.73551524,0,-132.2956445,,,,
801.7919994,3132,126.8888314,160.4985904,29.51922549,-31.21242528,47.5926605,-119.0011145,-11.91883708,-178.1182443,33.11800989,-2.678549543,51.2651044,-2.313552678,20.370162,-6.46576289,0,138.9370102,,,,
801.7999994,3132,-33.23486755,80.37787571,-14.61039064,47.1668048,-20.83928854,-64.17237278,1.005412188,-183.9038855,39.90799963,19.16848584,22.45907113,35.44824208,41.06023415,16.30712021,0,-354.0159089,,,,
801.8079994,3132,31.41898112,-60.38496579,6.732692746,29.78870553,33.39779044,167.3188531,4.366908642,-71.12810823,-3.600592792,7.877005983,-80.62373033,-5.291026621,28.83137672,11.992002,0,146.4196687,,,,
801.8159994,3132,71.44521854,220.5128449,-4.128513372,-9.189799301,22.94742386,-281.9285976,-18.37669094,-268.6202463,33.92654496,1.432702404,92.55762382,15.26362979,35.08027994,-2.27097335,0,-198.9435626,,,,
801.8239994,3132,-78.28582707,-126.9294729,-33.68635814,72.85200609,-29.26987718,237.5676425,9.971106969,-45.62039848,-19.16370229,-4.032857056,-105.9753742,17.1382182,12.59642453,-1.210209908,0,-132.6303038,,,,
801.8319994,3132,123.1648461,145.1524127,21.60502062,-22.14173618,49.08190332,-123.3026036,-18.2454825,-184.5127201,12.59200989,-16.78841595,40.10612462,-12.57541126,7.846431395,-16.68453452,0,138.7701461,,,,
801.8399994,3132,-36.14363762,48.94736648,-25.86658901,51.59608384,-26.03891996,-48.07955386,-2.703061845,-175.4096347,27.49332919,3.185430952,8.380406501,23.04400201,29.74847254,7.294696525,0,-336.5699076,,,,
801.8479994,3132,28.4308847,-86.04892807,-5.319121518,19.0444685,18.76925711,190.1637795,-8.758649887,-51.97220267,-10.44391693,-13.45270539,-92.6962975,-21.80980514,13.77587704,-9.965488456,0,182.4466244,,,,
801.8559994,3132,71.48522484,193.0179256,-0.677716377,-7.691310905,20.84184349,-267.1853116,-26.22637188,-261.7154006,36.11238442,-1.928597218,103.3773662,-0.740076931,35.22635742,-5.531991604,0,-179.3526929,,,,
801.8639994,3132,-74.27969395,-154.0948074,-32.53186703,74.09019727,-29.32526818,241.069498,6.086257458,-49.5125579,-16.44427896,-1.654006124,-90.00251801,5.800160472,23.77414177,3.987121058,0,-119.2627211,,,,
801.8719994,3132,128.2500085,133.8136148,21.32747226,-27.50871216,44.88049185,-125.5085914,-20.33106549,-192.7377775,15.43277418,-13.59704543,48.41395514,-21.07935148,10.38051412,-18.77126205,0,135.3664078,,,,
801.8799994,3132,-30.66134938,39.0365671,-13.96304638,57.92739941,-16.68912325,-51.01984808,11.69383683,-194.3827643,33.41946524,23.93401224,27.99437253,18.58426108,26.27023109,22.57585338,0,-347.435689,,,,
801.8879994,3132,35.30103138,-87.85957473,4.378991523,21.44894471,27.90251247,166.9129796,10.16037759,-85.92722288,-4.082822457,4.561052437,-66.18894421,-23.12866161,9.250117619,5.131079363,0,165.8759338,,,,
801.8959994,3132,74.33806215,209.614582,0.734446715,-13.2708596,19.52484236,-278.2146049,-12.60193325,-282.166209,43.17416333,3.668762077,114.3844367,-0.184316623,23.77977719,-4.585589731,0,-200.7695414,,,,
