Time:125Hz,Epoch,FP1,FP2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4,Event Id
583.4399996,2279,72.24613777,43.29242405,68.85779804,59.27787794,3.906639499,106.2414963,-105.9050924,97.65078873,0,143.5544995,-144.1207909,0,0,1618.395565,-66.71930913,323.7626481,
583.4479996,2279,-23.35060624,7.662207648,-16.93815048,-68.20689244,49.3734557,-274.5629173,75.54859077,-433.8811793,0,-19.53966182,293.1184577,0,0,407.1036147,45.81990431,-261.5201162,
583.4559996,2279,-8.876968448,24.0230421,-31.22821512,133.1958426,-48.16147437,366.9661102,55.5638409,715.6169988,0,88.3196525,-310.707185,0,0,755.7857011,2.689511645,163.7680476,
583.4639996,2279,75.81661618,36.93698548,82.24982312,-67.41543022,62.70120089,-277.2317233,-81.55813133,-600.5518263,0,51.36440188,231.8817317,0,0,1396.994471,-30.66137662,66.72952607,
583.4719996,2279,-57.60185248,16.2599991,-45.10109568,74.59315511,-8.339376185,107.2262698,178.5993565,333.4574816,0,-6.811275923,-50.9650682,0,0,-33.3687468,57.7150319,-210.480858,
583.4799996,2279,56.82042443,21.53472537,50.02638538,41.90552647,15.84135993,133.8531045,-103.2877293,131.0230687,0,120.6645574,-150.3550166,0,0,1581.43834,-60.98100783,332.4456024,
583.4879996,2279,-18.6241572,15.42812957,-15.12144041,-78.24559195,61.43553068,-279.1377207,72.83866948,-463.1742078,0,-26.84503638,318.968282,0,0,437.26882,57.8334695,-241.0703486,
583.4959996,2279,-11.2552753,30.09750131,-30.63590464,135.887077,-48.97909027,361.1956502,61.11961949,699.1224026,0,90.5116025,-317.2185012,0,0,679.8493374,-2.721451781,147.510182,
583.5039996,2279,69.68600195,34.26448688,83.42030166,-63.10757481,60.49790187,-254.3019711,-90.41760071,-588.7529551,0,58.08921153,211.8411173,0,0,1389.99585,-38.53390658,80.34896881,
583.5119996,2279,-62.71961143,17.57860961,-39.84096019,65.34833827,0.448423865,111.0517992,180.5888447,323.5014795,0,1.140310919,-22.77877419,0,0,-47.14754593,74.44099017,-209.0551067,
583.5199996,2279,59.48431952,32.99556256,53.4153997,49.22422448,16.85967144,144.4971524,-95.31687821,160.0428818,0,133.3309166,-165.5666227,0,0,1546.29809,-56.62761951,333.3871008,
583.5279996,2279,-17.50057759,16.85443703,-13.26283539,-71.38404159,67.98585617,-296.3926793,65.99041914,-494.9885529,0,-13.67637158,299.9761652,0,0,428.2898239,44.24416906,-244.6333229,
583.5359996,2279,-33.01241312,9.921502628,-37.62826885,133.7259207,-28.41074161,372.6499874,59.5383167,732.8971223,0,93.27842421,-307.0599113,0,0,630.0228221,8.795028203,135.9074461,
583.5439996,2279,61.96197111,29.54590635,75.38766882,-61.31093705,73.57763118,-232.1466329,-108.3409976,-538.2591638,0,56.72163206,231.8745999,0,0,1434.405643,-23.23866516,99.74709064,
583.5519996,2279,-60.64173705,25.84051317,-51.28884631,72.49617565,0.565356208,105.2008603,168.7744094,316.8494933,0,17.77301366,12.65496209,0,0,-46.1939266,85.82730998,-214.2485445,
583.5599996,2279,48.73008051,26.953429,42.51733589,52.97715755,14.31826183,181.5446809,-98.99904566,228.4432591,0,149.6951827,-151.6897733,0,0,1545.57506,-39.48342704,344.5820879,
583.5679996,2279,-18.9320923,18.47882337,-9.013272534,-77.59240563,74.30445202,-281.9936899,61.83462638,-477.7497851,0,-34.56929555,334.4349443,0,0,491.7305658,58.46047629,-228.5033746,
583.5759996,2279,-30.25950891,23.815729,-34.08869209,143.8555037,-29.8130251,383.8972872,75.64994991,761.5807107,0,92.04232752,-286.7180487,0,0,614.5183607,23.56536191,129.8295828,
583.5839996,2279,58.89891845,30.85943536,62.74533771,-69.33257261,66.23099925,-221.6797816,-108.5075506,-500.7703262,0,73.15731374,226.0339413,0,0,1483.323739,-19.63263857,118.5832275,
583.5919996,2279,-67.89459773,19.4792483,-72.8278007,44.2141501,0.354705105,84.67425189,169.1389397,313.8071043,0,-7.669854292,23.26084858,0,0,-33.99853298,82.26592835,-230.8880752,
583.5999996,2279,49.8188058,26.20819618,35.83732481,58.062573,13.05663325,210.7863965,-89.68254174,303.2522278,0,135.0499152,-160.9440523,0,0,1549.853973,-38.57316021,337.1993878,
583.6079996,2279,-7.474668165,24.48905626,5.311124637,-66.91820596,77.63184205,-262.1985003,58.9235281,-444.3181827,0,-26.36480369,363.3309904,0,0,576.4494335,66.55348344,-210.7499015,
583.6159996,2279,-24.96285759,31.22505108,-25.7701628,148.9935067,-34.94192232,386.7213357,82.18373089,793.2655488,0,88.7330542,-258.2222523,0,0,619.2398227,32.08037251,124.2718296,
583.6239996,2279,72.16085884,39.79711013,71.42255759,-57.42778189,58.37358833,-219.0459866,-108.1842962,-482.9824276,0,69.56324363,213.5351273,0,0,1517.911054,-31.73230454,123.9377333,
583.6319996,2279,-48.29860896,33.32899227,-56.67887316,63.12083796,1.973762153,64.52084624,175.8009881,272.5684025,0,-5.783532102,26.32720689,0,0,-47.85259857,66.80564099,-242.9324866,
583.6399996,2279,58.11622262,26.73753716,39.72159278,68.29112588,7.380841847,204.5954044,-83.65073048,310.6440227,0,142.1132917,-183.2651931,0,0,1510.492537,-50.48766285,341.4170564,
583.6479996,2279,-6.020686477,13.56185332,1.784010897,-90.30036919,73.22745046,-302.5133867,43.8239832,-498.6678336,0,-35.46684492,342.3483016,0,0,585.2641657,47.97095182,-206.9421382,
583.6559996,2279,-22.87293447,32.1310472,-27.71709073,132.3440978,-33.2406697,364.6923629,79.31476261,766.5330918,0,76.61701349,-287.0562126,0,0,547.1815147,14.19913507,99.16455936,
583.6639996,2279,72.4721783,39.53476503,66.56351279,-69.37199176,65.23668323,-214.0005046,-123.4747219,-471.7184026,0,72.32649116,179.1081204,0,0,1524.611134,-45.41583484,132.4161951,
583.6719996,2279,-64.41263042,24.41610275,-64.45896512,43.02094858,8.804792197,47.43823166,154.307496,240.3257166,0,-18.72614492,26.27633327,0,0,-43.31186178,70.015993,-249.7460733,
583.6799996,2280,49.26753134,37.89780048,48.38959137,76.05277193,-5.133546918,214.2000888,-102.2366882,327.4822888,0,141.9086999,-210.7004841,0,0,1492.138492,-48.01896356,339.30872,
583.6879996,2280,10.41394301,43.010148,17.94890651,-77.73131983,57.48340851,-323.5702473,20.10495371,-544.3053471,0,-7.695099331,315.6933121,0,0,600.3334396,31.12500688,-209.3052931,
583.6959996,2280,-12.45628754,48.59052382,-22.95031951,147.9709389,-41.94340502,353.9738302,80.46214419,744.9877326,0,105.1460934,-316.6909242,0,0,477.3687653,6.349890215,79.89227247,
583.7039996,2280,80.54779133,46.75368625,88.30245861,-47.18316719,56.23306249,-210.8734574,-126.4448327,-468.6123147,0,105.5422441,145.0746303,0,0,1525.51231,-45.16923952,152.4694814,
583.7119996,2280,-57.09487198,26.87629972,-46.84507795,52.83760898,22.52405438,19.33453467,158.1751655,196.9886332,0,-7.847311811,19.01635881,0,0,-73.55986737,70.52162078,-260.2256101,
583.7199996,2280,46.29877733,26.48559592,44.50633709,82.8558605,21.95366486,232.8083965,-91.15697522,367.5514944,0,130.30087,-245.8639994,0,0,1434.809231,-43.56090151,328.7151326,
583.7279996,2280,10.01541279,34.54936756,31.04083032,-79.38854772,78.88929478,-311.950703,12.79316368,-541.3924125,0,-19.93225036,307.3808106,0,0,626.2188132,38.40644459,-200.2581067,
583.7359996,2280,-20.31182589,41.83878245,-18.3473136,152.6713407,-15.82569341,377.0038519,80.05499735,770.1781886,0,81.67622326,-303.4557699,0,0,451.0008809,27.93460612,76.72465834,
583.7439996,2280,68.3360045,27.54072112,74.16730731,-51.43661437,75.92780309,-173.3531716,-146.0820656,-418.5420304,0,80.48338395,140.616329,0,0,1561.995844,-29.90379212,176.1117062,
583.7519996,2280,-57.57140885,22.99199019,-49.90681815,34.35673958,14.89376934,14.91075716,134.4406672,184.3586284,0,-26.43233005,48.55591617,0,0,-50.98400092,80.37177552,-255.1625486,
583.7599996,2280,60.5104827,48.48917266,53.16336419,96.67157528,-3.959003932,245.3336731,-99.00506897,398.094295,0,133.2573464,-229.2467175,0,0,1436.654929,-30.28320623,344.7677537,
583.7679996,2280,16.2561606,42.67817402,33.61755834,-64.83039549,64.95283507,-329.9746479,2.401966645,-573.3236374,0,-2.26401107,312.4219433,0,0,664.0137133,35.35422422,-185.3165736,
583.7759996,2280,-30.01022036,37.71118688,-30.90099372,154.1433806,-26.45940087,360.7924015,86.61945266,759.5595391,0,93.81334446,-291.8390894,0,0,412.9075646,31.30295345,68.54924639,
583.7839996,2280,76.86120297,42.56131963,79.56504237,-43.60488176,58.18999769,-166.4561121,-141.9898795,-399.4329518,0,96.73633462,150.9897604,0,0,1598.754227,-23.20380236,201.5925864,
583.7919996,2280,-46.57971363,39.09362259,-34.73040744,39.13599815,0.249246686,-10.36223942,144.0959039,133.9603286,0,-10.93543257,61.64276823,0,0,-59.99956549,72.16775164,-263.7059977,
583.7999996,2280,64.84420036,51.27803079,54.22446458,101.9147168,-12.75601441,253.0626752,-80.23533321,415.1870878,0,149.450587,-241.6026702,0,0,1388.074498,-35.41310019,345.1094955,
