Time:125Hz,Epoch,FP1,FP2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4,Channel 17,Channel 18,Channel 19,Event Id
465.0799997,1816,0,163.9676205,0,182.7281981,-66.81107649,-90.99482347,0,-43.73706635,0,0.741646117,-35.9646783,0,0.584378433,-16.80717546,0,0,-0.02034318,-0.00254567,0.013577826,
465.0879997,1816,0,59.39710158,0,107.7137951,31.15823903,60.87803689,0,73.92013529,0,-81.88982713,181.8202886,0,65.32076239,47.99510829,0,0,-0.030307941,-0.003914347,0.016291823,
465.0959997,1816,0,-88.29774964,0,100.1502658,12.44867395,-5.851845124,0,30.16642589,0,50.25516827,-291.4669713,0,-106.8796734,-33.95807125,0,0,-0.029454235,-0.003753322,0.015874588,
465.1039997,1816,0,282.2407548,0,217.3819939,-95.47403881,-60.43979109,0,-57.63920353,0,-89.51219331,256.0183203,0,114.4890034,43.84137443,0,0,-0.026048496,-0.003208365,0.014839204,
465.1119997,1816,0,-175.5790003,0,32.68503884,103.9370135,122.1896428,0,132.6118744,0,20.84037439,-140.7326,0,-62.2611121,4.530619893,0,0,-0.02934884,-0.003657904,0.015603326,
465.1199997,1816,0,164.2471076,0,177.970196,-44.43542382,-58.28839805,0,-23.80923052,0,12.60930179,-41.27795452,0,6.46815651,-24.36732004,0,0,-0.023569352,-0.004109877,0.010540858,
465.1279997,1816,0,52.45005684,0,92.39811876,78.46849223,117.075451,0,119.4037827,0,-44.8893355,183.0166957,0,75.45461551,35.62550425,0,0,-0.018237891,-0.005518504,0.003524929,
465.1359997,1816,0,-112.4833234,0,57.53968482,74.37852125,55.60034534,0,93.660235,0,96.26187859,-290.709307,0,-96.86191117,-52.29727682,0,0,-0.01956473,-0.005357183,0.004468021,
465.1439997,1816,0,247.6399911,0,160.5465187,-35.5198309,-6.465880946,0,1.319304404,0,-53.54533788,241.4115151,0,117.9163103,20.74129426,0,0,-0.019551173,-0.004730282,0.00582215,
465.1519997,1817,0,-199.4077989,0,-6.949046123,130.6494717,150.2021651,0,160.2766843,0,50.41094226,-151.1265163,0,-57.08874959,-9.993465114,0,0,-0.019040673,-0.005208915,0.00406918,
