Time:125Hz,Epoch,FP1,FP2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4,Event Id,,
162.3279999,634,126.3281465,-40.5124871,60.72600167,-35.50089177,-32.08915294,-62.62262518,258.7717794,228.7341178,222.1717429,4.281159089,-60.19803957,125.4914402,0,128.5522066,210.0022994,0,,,
162.3359999,634,71.60023471,1.944189699,-66.57966702,21.52275637,-43.03009181,65.96598594,-230.9855319,-408.6076535,-100.3060985,-6.409508877,19.68915327,-61.1715606,0,-78.60124773,23.84610507,0,,,
162.3439999,634,-104.4227523,-71.46682782,32.34034699,4.796718841,0.18307506,-62.02949715,288.7128397,241.7483212,-114.5911702,45.87192916,3.490485233,-19.31637099,0,-67.39005346,-355.7128265,0,,,
162.3519999,634,235.5553531,11.63302638,-0.581157132,-18.69096835,-52.76106897,13.9402185,-56.81841526,-170.5895134,219.8256807,-11.25985254,-45.14225689,111.4499057,0,131.7359274,426.1652245,0,,,
162.3599999,634,-139.7910307,-41.62309652,-47.00440112,43.78374752,-0.435191449,32.71189284,-27.64567437,-163.0466494,-300.4259353,41.51588688,56.70364796,-121.6627816,0,-168.529487,-461.0450536,0,,,
162.3679999,634,118.279996,-52.34715114,63.90576032,-48.12127457,-33.44333459,-92.23128966,261.3394937,230.8915934,221.6260137,11.70597729,-59.38283943,137.7506915,0,117.526499,191.8136045,0,,,
162.3759999,634,75.06846199,4.99852879,-65.98529825,20.52568312,-37.31647147,59.17702978,-243.4999404,-414.5230552,-99.89218261,-12.63878642,13.32693731,-55.95107948,0,-86.816918,43.93209775,0,,,
162.3839999,634,-104.0353955,-63.65006387,38.82981994,8.455061245,10.8254943,-47.21173882,275.2989341,232.0782657,-113.6666643,44.13395994,11.95828061,-17.79632095,0,-64.06168981,-365.0214243,0,,,
162.3919999,634,237.2700862,2.968447883,6.313462771,-34.11081907,-51.63652815,7.03309683,-51.75325388,-160.826046,232.0622873,-19.46438534,-47.59132381,112.5504472,0,118.8737537,435.0869115,0,,,
162.3999999,634,-269.1574973,-73.59257191,-43.45186558,50.60145451,18.50313986,7.484768777,83.30910253,-25.40309477,-441.8625011,44.72209546,66.72145969,-192.1426919,0,-266.4394148,-734.4820448,0,,,
162.4079999,634,-75.89681503,-126.9449211,154.5256133,-61.29362041,5.808695413,-209.4903466,767.3762345,862.1343244,170.9917525,58.98839662,-60.45541557,139.4934352,0,108.4764831,-238.6864365,0,,,
162.4159999,634,135.2011618,-47.11472776,56.36370772,-50.49455708,-41.06711893,-84.79310971,237.5721435,201.3900886,220.8506215,4.389793541,-55.93080083,118.62454,0,117.1255325,220.1471996,0,,,
162.4239999,634,-179.8558168,-105.1731249,63.99066525,-8.824778707,13.57188305,-113.2648006,465.7222564,471.2266288,-126.5362023,54.27311186,0.135767445,-19.99392116,0,-72.34558769,-504.7018282,0,,,
162.4319999,634,188.7296837,-28.88017364,50.56506431,-51.71984921,-46.79917928,-63.53731497,179.7945304,136.8661292,275.4662603,-2.642700025,-61.92137443,138.6139674,0,145.9135405,338.8716407,0,,,
162.4399999,634,61.41639164,9.714362563,-92.16378119,23.86526058,-44.5795808,95.69398449,-316.146284,-504.1041384,-142.9809325,-9.241455947,31.18759204,-90.15723974,0,-109.7128072,8.544977741,0,,,
162.4479999,634,-106.5530031,-84.49556947,21.85736772,-14.26200255,-16.84419053,-68.13543709,267.9594363,222.6004094,-102.2404821,34.9058526,-3.079505217,-20.68377042,0,-64.2838947,-326.0848054,0,,,
162.4559999,634,192.4387764,-16.31816915,4.144983226,-38.39519097,-67.88467465,-31.15668322,8.475283239,-83.12600786,194.527845,-20.37681183,-60.00842791,86.53933073,0,94.54743042,362.5130121,0,,,
162.4639999,634,-27.60853332,-15.99829446,-66.63257731,34.14578222,-29.72171507,48.93527247,-144.7293396,-286.680627,-208.7024448,15.055441,31.33879492,-107.9574361,0,-137.5987942,-195.3931608,0,,,
162.4719999,634,1.902190415,-64.31297342,34.85244637,-20.87101885,-27.22701937,-71.33774629,260.8037884,231.2633748,30.57773343,36.25945238,-21.18551904,42.37968993,0,18.5844413,-114.6085389,0,,,
162.4799999,634,183.321769,11.13000787,-37.59369817,-3.415069068,-59.18465321,41.82733195,-152.9146465,-277.6639314,97.80198861,-5.414556803,-20.79196926,38.14199678,0,41.61186083,266.9574106,0,,,
162.4879999,634,-104.316286,-38.50024612,-36.40239807,36.08604516,-6.677807946,22.73692893,33.78990783,-57.28606072,-215.0887764,46.00846714,37.73478977,-90.7060315,0,-134.8059617,-401.7960481,0,,,
162.4959999,634,127.3916214,-43.22218398,30.62388825,-49.47520516,-51.86707569,-74.02160874,173.9937371,133.9387916,203.6270892,7.447159249,-57.32296536,104.6121204,0,102.9261868,189.3596949,0,,,
